Bot_L,Bot_R,Timer,ActInterval,Round,SkillLeft,SkillRight,Games,Winner_L,Winner_R,ActionCounts_L,ActionCounts_R,TotalActions,Duration_L,Duration_R,Collisions_L,Collisions_R,Collisions_Tie,MatchDur,Accelerate_Dur_L,TurnLeft_Dur_L,TurnRight_Dur_L,Dash_Dur_L,SkillBoost_Dur_L,SkillStone_Dur_L,Accelerate_Dur_R,TurnLeft_Dur_R,TurnRight_Dur_R,Dash_Dur_R,SkillBoost_Dur_R,SkillStone_Dur_R,Accelerate_Act_L,TurnLeft_Act_L,TurnRight_Act_L,Dash_Act_L,SkillBoost_Act_L,SkillStone_Act_L,Accelerate_Act_R,TurnLeft_Act_R,TurnRight_Act_R,Dash_Act_R,SkillBoost_Act_R,SkillStone_Act_R,WinRate_L,WinRate_R,Rank_L,Rank_R
Bot_BT,Bot_Primitive,60.0,0.1,BestOf1,Stone,Boost,10,6,4,535,618,1153,79.53695273960001,91.808029535,16,18,20,19.773639299999996,32.944904206000004,27.035865008600002,18.230933485,1.0305160400000029,0.0,0.29473400000000005,5.539122545000005,12.82305179,24.045803810000002,19.757727590000002,29.642323800000007,0.0,191,200,127,14,0,3,357,131,103,16,11,0,0.6,0.4,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf3,Stone,Boost,10,4,6,1930,2222,4152,146.21897683970002,155.94601828700002,62,74,46,28.525257110000002,39.006047439000014,56.68511924170001,42.27763793900001,7.040382919999997,0.0,1.2097893000000006,25.069998487000024,27.60985312000001,16.531982390000003,22.620231689999997,64.1139526,0.0,690,593,590,47,0,10,1231,400,484,77,30,0,0.4,0.6,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf3,Boost,Boost,10,4,6,9230,12045,21275,65.84970461840003,154.65474468000005,88,69,48,42.022678118,16.826356916000012,23.68515392640001,22.18272011600001,2.8308992600000034,0.3245744000000066,0.0,13.761249160000006,27.78367557000001,10.957037550000011,100.40543460000004,1.7473478000000018,0.0,3128,518,5540,38,6,0,6138,404,5415,79,9,0,0.4,0.6,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf1,Boost,Boost,10,4,6,5199,6830,12029,25.151929280300003,125.802229947,32,22,20,39.49402846,6.978459936,9.285250394300002,8.174338659999998,0.7138802900000005,0.0,0.0,7.285174067000002,3.1274274700000015,4.802180889999997,110.58744752,0.0,0.0,1760,155,3276,8,0,0,3454,149,3199,28,0,0,0.4,0.6,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf1,Boost,Stone,10,6,4,751,976,1727,112.03617086199989,183.34875073299992,56,22,18,32.440354379999995,42.29990890599997,31.97575106599998,27.812594629999985,8.040427559999987,1.9074886999999876,0.0,51.478840582999965,44.06001204999998,40.04000715999998,29.77894613999997,0.0,17.9909448,244,232,215,43,17,0,612,127,165,54,0,18,0.6,0.4,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf1,Stone,Stone,10,6,3,743,834,1577,318.6055802783,315.24406566,28,33,20,32.28569691,77.881033671,49.23930704530002,67.944456592,65.41007987,0.0,58.13070309999999,60.87374222000001,31.021041070000003,79.61668623,71.07957473999998,0.0,72.6530214,311,173,209,35,0,15,528,103,147,38,0,18,0.6,0.3,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf3,Boost,Stone,10,2,8,1967,2522,4489,204.1840142284999,262.45712380699996,137,56,52,43.09148366,73.10035099799995,63.61548714149998,51.42913188899996,9.664370199999972,6.3746739999999935,0.0,58.137306476999996,55.18898495,84.31090939,25.140986689999963,0.0,39.67893629999998,648,467,704,102,46,0,1557,264,536,119,0,46,0.2,0.8,3,2
Bot_BT,Bot_Primitive,60.0,0.2,BestOf3,Stone,Stone,10,5,3,12943,12782,25725,192.24133293520003,145.058277964,47,31,22,60.001167970000004,10.444027624000006,54.798145563199995,20.577934948000017,82.8927604,0.0,23.528464400000004,9.994446214000002,13.100783499999997,70.43533203000001,25.373773220000007,0.0,26.153943000000005,6523,503,5875,37,0,5,6502,383,5859,33,0,5,0.5,0.3,3,2
Bot_BT,Bot_Primitive,60.0,0.2,BestOf3,Boost,Boost,10,2,8,4976,4799,9775,75.42820081390002,151.13542021700002,29,35,36,52.42503548,24.541340007000013,32.8968046429,17.93695891400001,0.05309725000000043,0.0,0.0,24.540768617000015,108.24557010000001,3.127281530000009,0.25699006999999985,14.964809899999992,0.0,1480,456,3037,3,0,0,1481,449,2858,5,6,0,0.2,0.8,3,2
Bot_BT,Bot_Primitive,60.0,0.2,BestOf1,Boost,Boost,10,8,1,4769,4720,9489,24.089808071100002,15.848653775000006,17,11,8,50.67746631,5.607225815000006,11.661787084099998,6.280641242000007,0.532664429999997,0.007489500000000149,0.0,5.607623515000006,6.062846569999998,3.318183550000006,0.4500420399999969,0.40995810000000077,0.0,2393,84,2277,13,2,0,2388,43,2274,13,2,0,0.8,0.1,3,2
